participant	text_id	sentence_id	text	token_count	fix_count	fix_prob	mean_fix_dur	first_fix_dur	first_pass_dur	tot_fix_dur	refix_count	reread_prob	tot_regr_from_dur	scaled_first_pass_dur	scaled_fix_count	scaled_tot_fix_dur	scaled_tot_regr_from_dur
avg	1-5	0	The intense interest aroused in the public by what was known at the time as 'The Styles Case' has now somewhat subsided.	22	24.92857142857143	11.714285714285714	3320.834523809523	3288.214285714286	3813.2142857142853	5152.071428571429	5.6428571428571415	5.928571428571429	1343.357142857143	50.717184256371205	56.39269406392693	57.220343263137075	23.92078553076747
avg	1-5	1	Nevertheless, in view of the world-wide notoriety which attended it, I have been asked, both by my friend Poirot and the family themselves, to write an account of the whole story.	31	29.500000000000004	15.357142857142854	4340.575000000001	4320.357142857143	5204.0	6149.500000000002	3.7857142857142856	6.071428571428569	1807.857142857142	71.0288855739039	67.566478646253	69.1582036785803	32.19200732619367
avg	1-5	2	This, we trust, will effectually silence the sensational rumours which still persist.	12	15.285714285714286	7.714285714285714	2102.261904761905	2107.0714285714284	2416.0714285714284	3134.7142857142862	3.2857142857142856	4.071428571428571	875.1428571428572	30.31264017692284	32.82299221058286	33.07532810176762	15.583424486784871
avg	1-5	3	I will therefore briefly set down the circumstances which led to my being connected with the affair.	17	15.64285714285714	9.42857142857143	2429.5559523809525	2410.642857142857	2743.642857142857	3248.5714285714284	2.2857142857142856	2.857142857142857	1422.2142857142858	35.09665035833134	33.69594413107708	34.438042904275235	25.32497265396454
avg	1-6	4	I had been invalided home from the Front; and, after spending some months in a rather depressing Convalescent Home, was given a month's sick leave.	25	31.928571428571434	16.000000000000004	4226.7881802721095	4186.0	5173.071428571428	7282.357142857143	6.500000000000002	7.785714285714286	1903.0	70.57718988952756	73.50255170561374	82.71695949274024	33.886189616137976
avg	1-6	5	Having no near relations or friends, I was trying to make up my mind what to do, when I ran across John Cavendish.	23	19.928571428571427	9.642857142857142	3172.083333333334	3233.214285714286	3570.928571428572	4202.4285714285725	2.571428571428571	3.7857142857142856	1944.285714285714	47.17872753257322	44.17136717700778	45.85441271148155	34.6213528020147
avg	1-6	6	I had seen very little of him for some years.	10	7.714285714285714	3.9999999999999996	1231.3392857142856	1239.857142857143	1358.142857142857	1592.857142857143	1.1428571428571428	1.5714285714285712	381.92857142857144	14.862144146211705	14.316411496105289	14.621399791272234	6.800895423672764
avg	1-6	7	Indeed, I had never known him particularly well.	8	7.571428571428572	4.785714285714286	1174.6904761904764	1167.5	1301.5000000000002	1586.142857142857	1.1428571428571428	1.6428571428571426	750.857142857143	14.034904705771904	13.967230727907598	14.541038943445562	13.370303477398187
avg	1-6	8	He was a good fifteen years my senior, for one thing, though he hardly looked his forty-five years.	18	15.857142857142856	9.642857142857142	2433.420068027211	2439.8571428571427	2660.8571428571427	3358.285714285714	2.7857142857142856	2.857142857142857	838.4999999999999	33.88760809922701	34.21971528337362	35.75117335386853	14.93093536160362
avg	1-7	9	As a boy, though, I had often stayed at Styles, his mother's place in Essex.	15	13.428571428571429	8.571428571428573	2271.3214285714284	2322.9285714285716	2575.857142857143	3044.6428571428573	2.142857142857143	2.857142857142857	416.92857142857144	32.64622735001722	28.283642224012883	31.997295877199157	7.424130650454072
avg	1-7	10	We had a good yarn about old times, and it ended in his inviting me down to Styles to spend my leave there.	23	19.428571428571427	11.857142857142854	3334.6380952380946	3376.785714285714	3605.7857142857147	4191.857142857144	2.642857142857143	3.1428571428571432	1192.7857142857142	47.68779795745925	42.94923448831586	45.72788712128637	21.23960214698176
avg	1-7	11	"The mater will be delighted to see you again...after all those years," he added.	14	14.0	7.500000000000001	2199.445238095238	2164.642857142857	2393.357142857143	3167.9285714285716	2.857142857142857	2.857142857142857	1110.8571428571427	29.980909859066784	29.680365296803647	33.472857827718705	19.780722952863062
avg	1-7	15	I suppose you know that she has married again?"	9	7.428571428571428	4.571428571428571	1255.3095238095239	1249.642857142857	1375.2142857142858	1510.6428571428573	0.7142857142857142	1.2857142857142856	402.28571428571433	15.11146347315384	13.618049959709907	13.637406856713719	7.16338938210679
avg	1-7	16	I am afraid I showed my surprise rather plainly.	9	8.428571428571429	4.357142857142858	1260.0357142857144	1227.8571428571427	1328.0714285714287	1787.9285714285716	1.9999999999999998	1.9999999999999998	889.4285714285713	14.422966587037486	16.062315337093736	16.956138891428026	15.837806212001729
avg	1-8	17	Mrs. Cavendish, who had married John's father when he was a widower with two sons, had been a handsome woman of middle-age as I remembered her.	26	28.142857142857135	14.571428571428568	4064.4869047619054	4040.0000000000005	4405.357142857144	6141.9285714285725	7.07142857142857	6.357142857142856	2038.2142857142858	59.365122416832726	64.24926134837493	69.06758399911618	36.293912645315565
avg	1-8	18	She certainly could not be a day less than seventy now.	11	9.214285714285714	4.571428571428572	1536.1785714285713	1591.9285714285716	1755.8571428571431	1941.7857142857142	0.9285714285714284	1.5714285714285712	505.2142857142857	20.67055423999333	17.98280956218103	18.797599170349876	8.996209712294268
avg	1-8	19	I recalled her as an energetic, autocratic personality, somewhat inclined to charitable and social notoriety, with a fondness for opening bazaars and playing the Lady Bountiful.	26	28.999999999999993	14.571428571428573	4215.188095238096	4273.785714285714	5287.214285714286	6384.07142857143	4.428571428571428	7.428571428571429	1967.0000000000002	72.24418689560929	66.34434595756107	71.96570393669514	35.025819745109516
avg	1-8	20	She was a most generous woman, and possessed a considerable fortune of her own.	14	12.785714285714285	6.857142857142856	1967.5202380952385	2052.0714285714284	2357.642857142857	2719.7857142857138	2.0000000000000004	2.7857142857142856	738.0000000000001	29.459321308978623	26.712328767123278	28.109198686606497	13.141359924703012
avg	1-8	21	Their country-place, Styles Court, had been purchased by Mr. Cavendish early in their married life.	15	15.499999999999998	8.428571428571429	2115.2898809523813	2040.142857142857	2660.214285714286	3227.714285714285	1.9999999999999998	3.2857142857142856	1612.6428571428573	33.878219505325426	33.346763362879386	34.18841133443067	28.715881051105292
avg	1-9	22	He had been completely under his wife's ascendancy, so much so that, on dying, he left the place to her for her lifetime, as well as the larger part of his income; an arrangement that was distinctly unfair to his two sons.	42	38.428571428571416	22.357142857142858	6042.910714285713	6079.714285714286	6777.214285714284	8055.999999999999	5.642857142857144	7.999999999999999	1964.4285714285716	94.00486120528683	89.3902766586086	91.97640994817317	34.98003103457048
avg	1-9	23	Their step-mother, however, had always been most generous to them; indeed, they were so young at the time of their father's remarriage that they always thought of her as their own mother.	32	26.928571428571427	17.071428571428573	4296.589285714286	4325.428571428572	4844.428571428571	5384.642857142856	2.7142857142857153	4.642857142857143	1705.928571428571	65.7775320516164	61.28122481869459	60.003906247431175	30.37699371677138
avg	1-9	24	Lawrence, the younger, had been a delicate youth.	8	6.857142857142857	3.9999999999999996	1003.5357142857141	1005.3571428571429	1083.142857142857	1373.142857142857	1.357142857142857	1.5714285714285712	586.0714285714286	10.84591231053296	12.221326886919147	11.991719281539824	10.4360102770217
avg	1-10	25	He had qualified as a doctor but early relinquished the profession of medicine, and lived at home while pursuing literary ambitions; though his verses never had any marked success.	29	31.857142857142858	16.142857142857142	4731.465476190475	4847.928571428572	5457.142857142857	7041.857142857142	6.357142857142857	7.428571428571429	1992.8571428571431	74.7259052169287	73.32796132151489	79.83850231579972	35.48625066775203
avg	1-10	26	John practiced for some time as a barrister, but had finally settled down to the more congenial life of a country squire.	22	17.928571428571427	10.357142857142856	2876.7202380952376	2972.8571428571427	3358.4285714285716	3967.857142857143	2.5	3.5	1604.7857142857142	44.07527565954873	39.282836422240116	43.04691245336671	28.575971102236014
avg	1-11	27	He had married two years ago, and had taken his wife to live at Styles, though I entertained a shrewd suspicion that he would have preferred his mother to increase his allowance, which would have enabled him to have a home of his own.	44	37.78571428571429	22.714285714285708	6170.791666666668	6191.428571428571	7027.142857142858	7911.071428571429	3.92857142857143	6.6428571428571415	1958.4285714285718	97.65493787880372	87.81896320171903	90.24181249880809	34.873190709979404
avg	1-11	28	Mrs. Cavendish, however, was a lady who liked to make her own plans, and expected other people to fall in with them, and in this case she certainly had the whip hand, namely: the purse strings.	36	29.642857142857142	15.857142857142854	4700.750000000001	4741.500000000001	5086.928571428572	6035.000000000003	4.5	5.7857142857142865	2416.928571428571	69.31911830671496	67.91565941445069	67.78779475234461	43.03757218081453
avg	1-12	29	John noticed my surprise at the news of his mother's remarriage and smiled rather ruefully.	15	14.0	8.357142857142858	2265.863095238095	2250.428571428571	2618.285714285714	3044.142857142857	1.7142857142857137	2.785714285714285	371.5	33.26587454752194	29.680365296803647	31.991311558743973	6.615196764264455
avg	1-12	32	"I can tell you, Hastings, it's making life jolly difficult for us.	12	11.714285714285714	5.785714285714286	1827.619047619048	1823.7857142857144	2135.7857142857147	2543.9999999999995	2.0	2.5714285714285716	1432.0000000000002	26.219213235831056	24.093473005640604	26.005283298293286	25.499224135738093
avg	1-12	33	As for Evie...you remember Evie?"	5	7.357142857142857	2.7857142857142856	912.379761904762	940.7142857142858	1292.2142857142858	1637.5714285714284	1.4285714285714284	2.0714285714285716	779.2142857142858	13.899291682748984	13.443459575611062	15.156568841692417	13.875251201953652
avg	1-12	35	"Oh, I suppose she was after your time.	8	6.2142857142857135	4.0	1071.142857142857	1102.642857142857	1149.4285714285713	1256.8571428571427	0.6428571428571428	0.9999999999999998	222.35714285714283	11.813980659496561	10.650013430029542	10.599937789392762	3.959451553000432
avg	1-12	36	She's the mater's factotum, companion, Jack of all trades!	9	14.571428571428571	5.285714285714286	1664.9440476190475	1595.6428571428573	2129.4285714285716	3325.428571428572	3.6428571428571423	4.0	1428.0	26.12637047391536	31.077088369594403	35.35791814109972	25.42799725267737
avg	1-12	38	Not precisely young and beautiful, but as game as they make them."	12	9.714285714285714	5.285714285714286	1299.440476190476	1308.9285714285716	1497.0714285714284	1918.8571428571431	1.9999999999999996	2.571428571428571	753.7142857142857	16.8911236060546	19.204942250872943	18.523175424048155	13.421179822441555
avg	1-12	39	"You were going to say......?"	5	3.357142857142857	1.857142857142857	517.202380952381	536.7857142857143	607.0714285714286	678.1428571428572	0.5	0.7857142857142856	713.5714285714286	3.8931369378579417	3.666398066075744	3.673516628842707	12.706367174582178
avg	1-13	41	He turned up from nowhere, on the pretext of being a second cousin or something of Evie's, though she didn't seem particularly keen to acknowledge the relationship.	27	23.78571428571429	14.428571428571427	3842.940476190477	3850.0714285714284	4329.142857142857	4887.142857142856	2.8571428571428577	4.642857142857142	1329.142857142857	58.2520524509446	53.59924791834542	54.04950938452927	23.667675714176692
avg	1-13	42	The fellow is an absolute outsider, anyone can see that.	10	10.0	5.571428571428571	1557.172619047619	1613.0714285714287	1839.0714285714284	2093.285714285714	1.1428571428571428	1.857142857142857	534.7857142857142	21.885855561698712	19.903303787268324	20.61084766226874	9.522779883493168
avg	1-13	43	He's got a great black beard, and wears patent leather boots in all weathers!	14	12.928571428571429	7.5	1957.2738095238096	1970.2142857142858	2311.3571428571427	2635.571428571429	1.4999999999999996	2.8571428571428568	867.9285714285713	28.78334254806439	27.061509535320972	27.101268478227283	15.454961715550354
avg	1-13	44	But the mater cottoned to him at once, took him on as secretary...you know how she's always running a hundred societies?"	21	19.71428571428571	10.0	2638.858333333334	2709.9285714285716	3161.142857142858	4035.142857142857	3.5714285714285716	4.2857142857142865	1401.0	41.194020508861804	43.64759602471124	43.85223073690634	24.947215792017502
avg	1-14	46	"Well, of course the war has turned the hundreds into thousands.	11	10.0	6.1428571428571415	1591.7142857142858	1602.857142857143	1742.1428571428569	2105.0714285714284	1.4999999999999998	2.142857142857143	495.7142857142857	20.470264236759473	19.903303787268324	20.751906597283643	8.827045865025056
avg	1-14	47	No doubt the fellow was very useful to her.	9	7.0	3.999999999999999	1271.7857142857142	1290.0714285714287	1367.4285714285716	1462.2857142857142	0.5714285714285714	0.9285714285714284	430.5	14.997757169234625	12.570507655116838	13.058637771834379	7.665793289410089
avg	1-14	48	But you could have knocked us all down with a feather when, three months ago, she suddenly announced that she and Alfred were engaged!	24	21.071428571428577	10.714285714285712	3367.398809523809	3344.9285714285716	3723.0714285714284	4282.071428571429	2.2857142857142856	3.857142857142857	1981.5	49.40069475594872	46.964813322589315	46.80762915112773	35.28401719620462
avg	1-14	49	The fellow must be at least twenty years younger than she is!	12	9.428571428571429	5.857142857142856	1662.3273809523812	1683.2142857142856	1814.4285714285713	2102.642857142857	1.4285714285714284	1.7142857142857137	432.3571428571429	21.525959462137887	18.50658071447757	20.722839907644207	7.698862913688282
avg	1-14	50	It's simply bare-faced fortune hunting; but there you are...she is her own mistress, and she's married him."	17	17.714285714285708	9.64285714285714	2508.541666666667	2499.4285714285716	2877.3571428571427	3711.857142857143	3.428571428571429	4.642857142857142	1257.0	37.049477889861365	38.75906526994357	39.98294140431568	22.38304800183155
avg	1-14	51	"It must be a difficult situation for you all."	9	4.7142857142857135	3.214285714285714	844.6309523809524	870.5000000000001	928.7857142857143	1020.6428571428571	0.5	0.9285714285714285	401.7857142857143	8.591606597051985	6.983615363953796	7.7727747706394865	7.1544860217242
